Date,Tournament,Surface,Round,Roger's Ranking,Opponent's Ranking,Score,Total Points,Aces,Double Faults,Service Points,First Serve Points,Second Serve Points,Opponent Aces,Time,Abandon,W/O,RF Win,Adversaire,Decompte ATP,Year,Month,Nber of Sets
2008-05-25,Roland Garros,Clay,R64,1,60,6-7(5) 6-1 6-0 6-4,245,13,1,110,76,34,2,145,0,0,1,Albert Montanes,Federer,2008,5,4
2008-05-25,Roland Garros,Clay,R128,1,40,6-4 6-4 6-3,171,5,1,79,53,26,6,95,0,0,1,Sam Querrey,Federer,2008,5,3
2008-05-11,Hamburg Masters,Clay,F,1,2,7-5 6-7(3) 6-3,219,7,0,118,72,46,3,172,0,0,0,Rafael Nadal,Rafael Nadal,2008,5,3
2008-05-11,Hamburg Masters,Clay,SF,1,43,6-3 6-1,119,1,0,46,24,22,2,79,0,0,1,Andreas Seppi,Federer,2008,5,2
2008-05-11,Hamburg Masters,Clay,QF,1,28,6-3 6-3,115,2,1,55,38,17,1,81,0,0,1,Fernando Verdasco,Federer,2008,5,2
2008-05-11,Hamburg Masters,Clay,R16,1,48,6-3 6-2,104,6,0,48,25,23,6,64,0,0,1,Robin Soderling,Federer,2008,5,2
2008-05-11,Hamburg Masters,Clay,R32,1,27,6-1 6-3,101,2,0,42,33,9,1,58,0,0,1,Jarkko Nieminen,Federer,2008,5,2
2008-05-05,Rome Masters,Clay,QF,1,27,7-6(4) 7-6(7),170,7,1,76,48,28,8,115,0,0,0,Radek Stepanek,Radek Stepanek,2008,5,2
2008-05-05,Rome Masters,Clay,R16,1,22,7-6(4) 6-3,137,2,0,55,32,23,12,93,0,0,1,Ivo Karlovic,Federer,2008,5,2
2008-05-05,Rome Masters,Clay,R32,1,30,6-3 6-3,112,8,0,51,29,22,0,83,0,0,1,Guillermo Canas,Federer,2008,5,2
2008-04-20,Monte Carlo Masters,Clay,F,1,2,7-5 7-5,138,5,0,75,47,28,1,103,0,0,0,Rafael Nadal,Rafael Nadal,2008,4,2
2008-04-20,Monte Carlo Masters,Clay,SF,1,3,6-3 3-2 RET,104,1,0,42,22,20,2,72,1,0,1,Novak Djokovic,Federer,2008,4,3
2008-04-20,Monte Carlo Masters,Clay,QF,1,7,5-7 6-2 6-2,181,9,2,88,46,42,2,128,0,0,1,David Nalbandian,Federer,2008,4,3
2008-04-20,Monte Carlo Masters,Clay,R16,1,64,6-3 6-4,112,0,0,57,36,21,7,71,0,0,1,Gael Monfils,Federer,2008,4,2
2008-04-20,Monte Carlo Masters,Clay,R32,1,137,6-1 3-6 7-6(1),193,5,3,92,57,35,2,124,0,0,1,Ruben Ramirez Hidalgo,Federer,2008,4,3
2008-04-14,Estoril,Clay,F,1,4,7-6(5) 1-2 RET,111,5,0,58,36,22,3,79,1,0,1,Nikolay Davydenko,Federer,2008,4,3
2008-04-14,Estoril,Clay,SF,1,104,2-6 7-5 6-1,154,10,0,73,51,22,3,93,0,0,1,Denis Gremelmayr,Federer,2008,4,3
2008-04-14,Estoril,Clay,QF,1,146,6-4 6-1,94,5,1,50,35,15,0,94,0,0,1,Frederico Gil,Federer,2008,4,2
2008-04-14,Estoril,Clay,R16,1,68,6-3 6-2,99,3,1,48,26,22,1,60,0,0,1,Victor Hanescu,Federer,2008,4,2
2008-04-14,Estoril,Clay,R32,1,77,4-6 6-3 6-2,189,17,3,79,46,33,1,120,0,0,1,Olivier Rochus,Federer,2008,4,3
2008-03-27,Miami Masters,Hard,QF,1,6,7-6(4) 4-6 6-3,186,7,1,85,54,31,17,115,0,0,0,Andy Roddick,Andy Roddick,2008,3,3
2008-03-27,Miami Masters,Hard,R16,1,45,7-6(5) 6-2,118,12,4,55,39,16,5,75,0,0,1,Jose Acasuso,Federer,2008,3,2
2008-03-27,Miami Masters,Hard,R32,1,39,6-4 3-0 RET,74,6,1,41,29,12,0,47,1,0,1,Robin Soderling,Federer,2008,3,3
2008-03-27,Miami Masters,Hard,R64,1,65,6-3 6-4,119,2,1,67,46,21,8,67,0,0,1,Gael Monfils,Federer,2008,3,2
2008-03-13,Indian Wells Masters,Hard,SF,1,98,6-3 6-2,103,2,0,53,28,25,7,64,0,0,0,Mardy Fish,Mardy Fish,2008,3,2
2008-03-13,Indian Wells Masters,Hard,QF,1,36,W/O,,,,,,,,,0,1,1,Tommy Haas,,2008,3,1
2008-03-13,Indian Wells Masters,Hard,R16,1,23,6-3 6-4,119,6,0,51,38,13,4,76,0,0,1,Ivan Ljubicic,Federer,2008,3,2
2008-03-13,Indian Wells Masters,Hard,R32,1,44,6-1 6-1,82,9,1,32,24,8,0,53,0,0,1,Nicolas Mahut,Federer,2008,3,2
2008-03-13,Indian Wells Masters,Hard,R64,1,62,6-3 6-2,105,6,0,48,29,19,2,66,0,0,1,Guillermo Garcia Lopez,Federer,2008,3,2
2008-03-03,Dubai,Hard,R32,1,11,6-7(6) 6-3 6-4,184,6,2,88,58,30,10,115,0,0,0,Andy Murray,Andy Murray,2008,3,3
2008-01-14,Australian Open,Hard,SF,1,3,7-5 6-3 7-6(5),222,10,2,109,68,41,13,146,0,0,0,Novak Djokovic,Novak Djokovic,2008,1,3
2008-01-14,Australian Open,Hard,QF,1,15,7-5 7-6(5) 6-4,212,13,0,96,65,31,8,119,0,0,1,James Blake,Federer,2008,1,3
2008-01-14,Australian Open,Hard,R16,1,13,6-4 7-6(7) 6-3,190,11,1,94,59,35,7,117,0,0,1,Tomas Berdych,Federer,2008,1,3
2008-01-14,Australian Open,Hard,R32,1,49,6-7(5) 7-6(1) 5-7 6-1 10-8,374,39,1,167,107,60,12,265,0,0,1,Janko Tipsarevic,Federer,2008,1,5
2008-01-14,Australian Open,Hard,R64,1,36,6-1 6-2 6-0,130,6,1,61,42,19,2,80,0,0,1,Fabrice Santoro,Federer,2008,1,3
2008-01-14,Australian Open,Hard,R128,1,107,6-0 6-3 6-0,127,11,1,65,50,15,3,72,0,0,1,Diego Hartfield,Federer,2008,1,3
2007-11-12,Masters Cup,Hard,F,1,6,6-2 6-3 6-2,155,9,2,73,48,25,1,99,0,0,1,David Ferrer,Federer,2007,11,3
2007-11-12,Masters Cup,Hard,SF,1,2,6-4 6-1,87,11,0,48,39,9,1,59,0,0,1,Rafael Nadal,Federer,2007,11,2
2007-11-12,Masters Cup,Hard,RR,1,5,6-4 6-2,101,7,0,47,39,8,7,61,0,0,1,Andy Roddick,Federer,2007,11,2
2007-11-12,Masters Cup,Hard,RR,1,7,3-6 7-6(1) 7-5,201,5,1,92,64,28,4,129,0,0,0,Fernando Gonzalez,Fernando Gonzalez,2007,11,3
2007-11-12,Masters Cup,Hard,RR,1,4,6-4 6-3,126,3,1,60,41,19,0,87,0,0,1,Nikolay Davydenko,Federer,2007,11,2
2007-10-28,Paris Masters,Hard,R16,1,21,6-4 7-6(3),154,4,0,66,44,22,6,102,0,0,0,David Nalbandian,David Nalbandian,2007,10,2
2007-10-28,Paris Masters,Hard,R32,1,24,6-3 4-6 6-3,166,6,0,74,41,33,16,104,0,0,1,Ivo Karlovic,Federer,2007,10,3
2007-10-22,Basel,Hard,F,1,29,6-3 6-4,106,4,0,56,33,23,2,61,0,0,1,Jarkko Nieminen,Federer,2007,10,2
2007-10-22,Basel,Hard,SF,1,25,7-6(6) 7-6(5),160,10,1,81,57,24,16,98,0,0,1,Ivo Karlovic,Federer,2007,10,2
2007-10-22,Basel,Hard,QF,1,64,6-3 6-2,105,1,1,56,33,23,4,71,0,0,1,Nicolas Kiefer,Federer,2007,10,2
2007-10-22,Basel,Hard,R16,1,49,6-1 6-4,97,10,1,51,34,17,2,58,0,0,1,Juan Martin Del Potro,Federer,2007,10,2
2007-10-22,Basel,Hard,R32,1,56,6-1 3-6 6-3,144,11,0,69,43,26,5,88,0,0,1,Michael Berrer,Federer,2007,10,3
2007-10-15,Madrid Masters,Hard,F,1,25,1-6 6-3 6-3,156,8,1,81,48,33,4,109,0,0,0,David Nalbandian,David Nalbandian,2007,10,3
2007-10-15,Madrid Masters,Hard,SF,1,112,6-4 6-4,123,10,0,51,34,17,4,84,0,0,1,Nicolas Kiefer,Federer,2007,10,2
2007-10-15,Madrid Masters,Hard,QF,1,42,7-6(4) 6-4,150,8,1,56,33,23,11,96,0,0,1,Feliciano Lopez,Federer,2007,10,2
2007-10-15,Madrid Masters,Hard,R16,1,14,6-0 6-3,91,4,1,41,26,15,5,53,0,0,1,Guillermo Canas,Federer,2007,10,2
2007-10-15,Madrid Masters,Hard,R32,1,72,7-6(2) 6-4,143,11,1,70,44,26,1,86,0,0,1,Robby Ginepri,Federer,2007,10,2
2007-09-21,Davis Cup WG PO: CZE vs SUI,Carpet,RR,1,34,6-3 6-2 6-7(4) 7-6(5),,,,,,,,,0,0,1,Radek Stepanek,Federer,2007,9,4
2007-09-21,Davis Cup WG PO: CZE vs SUI,Carpet,RR,1,10,7-6(5) 7-6(10) 6-3,,,,,,,,,0,0,1,Tomas Berdych,Federer,2007,9,3
2007-08-27,US Open,Hard,F,1,3,7-6(4) 7-6(2) 6-4,222,11,4,106,66,40,5,144,0,0,1,Novak Djokovic,Federer,2007,8,3
2007-08-27,US Open,Hard,SF,1,4,7-5 6-1 7-5,210,10,3,108,59,49,1,138,0,0,1,Nikolay Davydenko,Federer,2007,8,3
2007-08-27,US Open,Hard,QF,1,5,7-6(5) 7-6(4) 6-2,204,15,0,101,62,39,14,121,0,0,1,Andy Roddick,Federer,2007,8,3
2007-08-27,US Open,Hard,R16,1,60,3-6 6-4 6-1 6-4,199,11,0,85,62,23,13,118,0,0,1,Feliciano Lopez,Federer,2007,8,4
2007-08-27,US Open,Hard,R32,1,184,6-7(4) 6-2 6-4 6-2,228,10,1,107,71,36,17,135,0,0,1,John Isner,Federer,2007,8,4
2007-08-27,US Open,Hard,R64,1,120,6-1 6-4 6-4,156,5,1,72,47,25,5,88,0,0,1,Paul Capdeville,Federer,2007,8,3
2007-08-27,US Open,Hard,R128,1,319,6-3 6-2 6-4,154,13,2,73,46,27,9,90,0,0,1,Scoville Jenkins,Federer,2007,8,3
2007-08-13,Cincinnati Masters,Hard,F,1,8,6-1 6-4,113,9,2,66,40,26,3,65,0,0,1,James Blake,Federer,2007,8,2
2007-08-13,Cincinnati Masters,Hard,SF,1,20,6-3 6-7(7) 7-6(1),225,18,2,112,70,42,5,155,0,0,1,Lleyton Hewitt,Federer,2007,8,3
2007-08-13,Cincinnati Masters,Hard,QF,1,32,6-3 3-6 6-2,139,9,2,61,46,15,5,82,0,0,1,Nicolas Almagro,Federer,2007,8,3
2007-08-13,Cincinnati Masters,Hard,R16,1,18,7-6(5) 7-5,172,8,1,86,50,36,8,102,0,0,1,Marcos Baghdatis,Federer,2007,8,2
2007-08-13,Cincinnati Masters,Hard,R32,1,68,6-3 6-3,123,3,1,51,28,23,5,77,0,0,1,Julien Benneteau,Federer,2007,8,2
2007-08-05,Canada Masters,Hard,F,1,4,7-6(2) 2-6 7-6(2),198,15,1,102,69,33,6,133,0,0,0,Novak Djokovic,Novak Djokovic,2007,8,3
2007-08-05,Canada Masters,Hard,SF,1,60,7-6(6) 6-2,129,13,0,63,38,25,3,82,0,0,1,Radek Stepanek,Federer,2007,8,2
2007-08-05,Canada Masters,Hard,QF,1,21,6-3 6-4,131,13,2,70,40,30,5,86,0,0,1,Lleyton Hewitt,Federer,2007,8,2
2007-08-05,Canada Masters,Hard,R16,1,139,6-1 6-1,83,3,2,35,25,10,3,45,0,0,1,Fabio Fognini,Federer,2007,8,2
2007-08-05,Canada Masters,Hard,R32,1,34,7-6(2) 7-6(3),139,3,0,65,55,10,16,83,0,0,1,Ivo Karlovic,Federer,2007,8,2
2007-06-25,Wimbledon,Grass,F,1,2,7-6(7) 4-6 7-6(3) 2-6 6-2,323,24,3,156,111,45,1,225,0,0,1,Rafael Nadal,Federer,2007,6,5
2007-06-25,Wimbledon,Grass,SF,1,14,7-5 6-3 6-4,179,20,0,90,64,26,4,104,0,0,1,Richard Gasquet,Federer,2007,6,3
2007-06-25,Wimbledon,Grass,QF,1,18,7-6(2) 3-6 6-1 6-3,233,15,1,113,67,46,3,136,0,0,1,Juan Carlos Ferrero,Federer,2007,6,4
2007-06-25,Wimbledon,Grass,R16,1,10,W/O,,,,,,,,,0,1,1,Tommy Haas,,2007,6,1
2007-06-25,Wimbledon,Grass,R32,1,24,6-1 6-4 7-6(4),175,12,1,86,56,30,5,99,0,0,1,Marat Safin,Federer,2007,6,3
2007-06-25,Wimbledon,Grass,R64,1,56,6-2 7-5 6-1,153,5,1,77,45,32,1,93,0,0,1,Juan Martin Del Potro,Federer,2007,6,3
2007-06-25,Wimbledon,Grass,R128,1,86,6-3 6-2 6-4,164,9,0,78,48,30,2,92,0,0,1,Teymuraz Gabashvili,Federer,2007,6,3
2007-05-28,Roland Garros,Clay,F,1,2,6-3 4-6 6-3 6-4,255,9,1,118,76,42,2,190,0,0,0,Rafael Nadal,Rafael Nadal,2007,5,4
2007-05-28,Roland Garros,Clay,SF,1,4,7-5 7-6(5) 7-6(7),278,10,3,138,71,67,2,181,0,0,1,Nikolay Davydenko,Federer,2007,5,3
2007-05-28,Roland Garros,Clay,QF,1,9,7-5 1-6 6-1 6-2,189,8,0,87,51,36,2,122,0,0,1,Tommy Robredo,Federer,2007,5,4
2007-05-28,Roland Garros,Clay,R16,1,15,7-6(3) 6-4 6-4,210,1,2,100,50,50,3,145,0,0,1,Mikhail Youzhny,Federer,2007,5,3
2007-05-28,Roland Garros,Clay,R32,1,57,6-2 6-3 6-0,145,5,2,76,47,29,1,91,0,0,1,Potito Starace,Federer,2007,5,3
2007-05-28,Roland Garros,Clay,R64,1,168,6-1 6-2 7-6(8),212,6,0,94,64,30,3,111,0,0,1,Thierry Ascione,Federer,2007,5,3
2007-05-28,Roland Garros,Clay,R128,1,68,6-4 6-2 6-4,168,6,0,75,53,22,1,105,0,0,1,Michael Russell,Federer,2007,5,3
2007-05-14,Hamburg Masters,Clay,F,1,2,2-6 6-2 6-0,152,6,0,73,38,35,1,115,0,0,1,Rafael Nadal,Federer,2007,5,3
2007-05-14,Hamburg Masters,Clay,SF,1,36,4-6 6-4 6-2,202,6,3,106,68,38,3,127,0,0,1,Carlos Moya,Federer,2007,5,3
2007-05-14,Hamburg Masters,Clay,QF,1,14,6-3 4-6 6-3,165,8,1,77,44,33,1,106,0,0,1,David Ferrer,Federer,2007,5,3
2007-05-14,Hamburg Masters,Clay,R16,1,19,6-2 6-3,90,5,1,50,28,22,1,65,0,0,1,Juan Carlos Ferrero,Federer,2007,5,2
2007-05-14,Hamburg Masters,Clay,R32,1,48,6-3 2-6 6-4,176,5,4,93,49,44,0,117,0,0,1,Juan Monaco,Federer,2007,5,3
2007-05-07,Rome Masters,Clay,R16,1,53,6-2 6-4,116,5,4,54,24,30,0,78,0,0,0,Filippo Volandri,Filippo Volandri,2007,5,2
2007-05-07,Rome Masters,Clay,R32,1,40,6-3 6-4,120,3,0,60,37,23,3,75,0,0,1,Nicolas Almagro,Federer,2007,5,2
2007-04-15,Monte Carlo Masters,Clay,F,1,2,6-4 6-4,132,3,4,66,36,30,1,95,0,0,0,Rafael Nadal,Rafael Nadal,2007,4,2
2007-04-15,Monte Carlo Masters,Clay,SF,1,21,6-3 6-4,114,3,1,65,38,27,0,85,0,0,1,Juan Carlos Ferrero,Federer,2007,4,2
2007-04-15,Monte Carlo Masters,Clay,QF,1,16,6-4 6-0,93,6,0,43,24,19,0,59,0,0,1,David Ferrer,Federer,2007,4,2
2007-04-15,Monte Carlo Masters,Clay,R16,1,49,6-4 6-3,111,1,2,56,35,21,0,65,0,0,1,Hyung Taik Lee,Federer,2007,4,2
2007-04-15,Monte Carlo Masters,Clay,R32,1,101,7-6(4) 7-6(6),168,6,3,78,42,36,3,108,0,0,1,Andreas Seppi,Federer,2007,4,2
2007-03-19,Miami Masters,Hard,R16,1,55,7-6(2) 2-6 7-6(5),219,7,1,97,54,43,5,159,0,0,0,Guillermo Canas,Guillermo Canas,2007,3,3
2007-03-19,Miami Masters,Hard,R32,1,34,7-5 6-3,130,9,1,57,27,30,5,82,0,0,1,Nicolas Almagro,Federer,2007,3,2
2007-03-19,Miami Masters,Hard,R64,1,69,6-4 6-3,110,6,1,45,26,19,5,62,0,0,1,Sam Querrey,Federer,2007,3,2
2007-03-05,Indian Wells Masters,Hard,R64,1,60,7-5 6-2,145,5,2,77,44,33,1,105,0,0,0,Guillermo Canas,Guillermo Canas,2007,3,2
2007-02-26,Dubai,Hard,F,1,18,6-4 6-3,124,4,0,51,29,22,3,85,0,0,1,Mikhail Youzhny,Federer,2007,2,2
2007-02-26,Dubai,Hard,SF,1,9,6-4 7-5,138,11,0,75,43,32,5,91,0,0,1,Tommy Haas,Federer,2007,2,2
2007-02-26,Dubai,Hard,QF,1,14,6-3 6-7(6) 6-3,198,8,1,100,62,38,6,123,0,0,1,Novak Djokovic,Federer,2007,2,3
2007-02-26,Dubai,Hard,R16,1,88,7-5 6-3,139,5,0,58,36,22,9,87,0,0,1,Daniele Bracciali,Federer,2007,2,2
2007-02-26,Dubai,Hard,R32,1,86,7-6(2) 3-6 6-3,174,11,0,80,54,26,9,88,0,0,1,Kristian Pless,Federer,2007,2,3
2007-01-15,Australian Open,Hard,F,1,9,7-6(2) 6-4 6-4,213,5,1,86,50,36,6,140,0,0,1,Fernando Gonzalez,Federer,2007,1,3
2007-01-15,Australian Open,Hard,SF,1,7,6-4 6-0 6-2,128,10,2,63,32,31,4,83,0,0,1,Andy Roddick,Federer,2007,1,3
2007-01-15,Australian Open,Hard,QF,1,6,6-3 7-6(2) 7-5,213,5,1,96,60,36,4,140,0,0,1,Tommy Robredo,Federer,2007,1,3
2007-01-15,Australian Open,Hard,R16,1,15,6-2 7-5 6-3,181,12,1,80,50,30,7,110,0,0,1,Novak Djokovic,Federer,2007,1,3
2007-01-15,Australian Open,Hard,R32,1,25,6-3 6-3 7-6(5),201,7,1,100,53,47,7,124,0,0,1,Mikhail Youzhny,Federer,2007,1,3
2007-01-15,Australian Open,Hard,R64,1,50,6-2 6-3 6-2,152,7,1,66,42,24,2,95,0,0,1,Jonas Bjorkman,Federer,2007,1,3
2007-01-15,Australian Open,Hard,R128,1,82,7-5 6-0 6-4,186,7,1,79,56,23,3,107,0,0,1,Bjorn Phau,Federer,2007,1,3
2006-11-13,Masters Cup,Hard,F,1,8,6-0 6-3 6-4,167,11,1,86,59,27,4,97,0,0,1,James Blake,Federer,2006,11,3
2006-11-13,Masters Cup,Hard,SF,1,2,6-4 7-5,140,7,4,60,37,23,0,113,0,0,1,Rafael Nadal,Federer,2006,11,2
2006-11-13,Masters Cup,Hard,RR,1,7,3-6 6-1 6-1,128,9,1,67,39,28,0,88,0,0,1,David Nalbandian,Federer,2006,11,3
2006-11-13,Masters Cup,Hard,RR,1,5,4-6 7-6(8) 6-4,215,12,4,107,64,43,12,149,0,0,1,Andy Roddick,Federer,2006,11,3
2006-11-13,Masters Cup,Hard,RR,1,4,7-6(2) 6-4,134,7,0,67,44,23,8,94,0,0,1,Ivan Ljubicic,Federer,2006,11,2
2006-10-23,Basel,Carpet,F,1,7,6-3 6-2 7-6(3),207,14,1,86,67,19,6,119,0,0,1,Fernando Gonzalez,Federer,2006,10,3
2006-10-23,Basel,Carpet,SF,1,54,6-4 3-6 7-6(5),193,8,0,83,60,23,6,118,0,0,1,Paradorn Srichaphan,Federer,2006,10,3
2006-10-23,Basel,Carpet,QF,1,15,6-3 7-6(14),135,2,1,67,41,26,3,87,0,0,1,David Ferrer,Federer,2006,10,2
2006-10-23,Basel,Carpet,R16,1,75,6-2 6-0,92,4,1,37,21,16,2,53,0,0,1,Guillermo Garcia Lopez,Federer,2006,10,2
2006-10-23,Basel,Carpet,R32,1,151,6-1 6-2,85,11,0,38,27,11,0,50,0,0,1,Tomas Zib,Federer,2006,10,2
2006-10-16,Madrid Masters,Hard,F,1,10,7-5 6-1 6-0,160,11,2,81,45,36,4,108,0,0,1,Fernando Gonzalez,Federer,2006,10,3
2006-10-16,Madrid Masters,Hard,SF,1,4,6-4 6-0,95,9,0,41,27,14,1,59,0,0,1,David Nalbandian,Federer,2006,10,2
2006-10-16,Madrid Masters,Hard,QF,1,47,6-3 7-6(4),142,6,1,76,49,27,2,82,0,0,1,Robby Ginepri,Federer,2006,10,2
2006-10-16,Madrid Masters,Hard,R16,1,29,7-6(5) 7-6(8),181,13,0,79,60,19,8,108,0,0,1,Robin Soderling,Federer,2006,10,2
2006-10-16,Madrid Masters,Hard,R32,1,45,6-3 6-2,112,7,0,57,31,26,2,85,0,0,1,Nicolas Massu,Federer,2006,10,2
2006-10-02,Tokyo,Hard,F,1,55,6-3 6-3,113,4,2,48,27,21,0,67,0,0,1,Tim Henman,Federer,2006,10,2
2006-10-02,Tokyo,Hard,SF,1,72,6-3 6-4,106,8,0,49,29,20,4,60,0,0,1,Benjamin Becker,Federer,2006,10,2
2006-10-02,Tokyo,Hard,QF,1,1078,4-6 7-5 7-6(3),199,15,0,88,60,28,6,124,0,0,1,Takao Suzuki,Federer,2006,10,3
2006-10-02,Tokyo,Hard,R16,1,73,6-2 6-1,84,5,0,40,27,13,4,52,0,0,1,Wesley Moodie,Federer,2006,10,2
2006-10-02,Tokyo,Hard,R32,1,276,7-6(2) 7-6(3),166,6,1,82,53,29,9,101,0,0,1,Viktor Troicki,Federer,2006,10,2
2006-09-22,Davis Cup WG PO: SUI vs SCG,Hard,RR,1,92,6-3 6-2 6-2,,,,,,,,,0,0,1,Janko Tipsarevic,Federer,2006,9,3
2006-09-22,Davis Cup WG PO: SUI vs SCG,Hard,RR,1,21,6-3 6-2 6-3,,,,,,,,,0,0,1,Novak Djokovic,Federer,2006,9,3
2006-08-28,US Open,Hard,F,1,10,6-2 4-6 7-5 6-1,225,17,0,103,63,40,7,145,0,0,1,Andy Roddick,Federer,2006,8,4
2006-08-28,US Open,Hard,SF,1,6,6-1 7-5 6-4,166,4,1,81,54,27,2,101,0,0,1,Nikolay Davydenko,Federer,2006,8,3
2006-08-28,US Open,Hard,QF,1,7,7-6(7) 6-0 6-7(9) 6-4,291,9,4,137,84,53,8,165,0,0,1,James Blake,Federer,2006,8,4
2006-08-28,US Open,Hard,R16,1,79,6-3 7-6(2) 6-3,181,15,2,94,61,33,8,104,0,0,1,Marc Gicquel,Federer,2006,8,3
2006-08-28,US Open,Hard,R32,1,84,6-3 6-3 6-0,149,7,0,74,46,28,2,88,0,0,1,Vincent Spadea,Federer,2006,8,3
2006-08-28,US Open,Hard,R64,1,62,6-3 6-4 7-5,194,6,1,81,56,25,2,121,0,0,1,Tim Henman,Federer,2006,8,3
2006-08-28,US Open,Hard,R128,1,109,6-4 6-1 6-0,168,7,1,64,39,25,3,99,0,0,1,Jimmy Wang,Federer,2006,8,3
2006-08-14,Cincinnati Masters,Hard,R32,1,21,7-5 6-4,144,6,3,76,42,34,4,97,0,0,0,Andy Murray,Andy Murray,2006,8,2
2006-08-14,Cincinnati Masters,Hard,R64,1,45,7-5 6-4,143,10,3,73,46,27,5,84,0,0,1,Paradorn Srichaphan,Federer,2006,8,2
2006-08-07,Canada Masters,Hard,F,1,51,2-6 6-3 6-2,165,6,4,88,50,38,2,107,0,0,1,Richard Gasquet,Federer,2006,8,3
2006-08-07,Canada Masters,Hard,SF,1,16,6-1 5-7 6-3,169,3,3,81,54,27,1,110,0,0,1,Fernando Gonzalez,Federer,2006,8,3
2006-08-07,Canada Masters,Hard,QF,1,41,7-6(4) 6-7(5) 6-3,222,2,3,110,70,40,4,147,0,0,1,Xavier Malisse,Federer,2006,8,3
2006-08-07,Canada Masters,Hard,R16,1,27,6-3 5-7 6-0,174,8,1,92,61,31,1,107,0,0,1,Dmitry Tursunov,Federer,2006,8,3
2006-08-07,Canada Masters,Hard,R32,1,33,6-3 6-3,112,3,2,56,31,25,3,67,0,0,1,Sebastien Grosjean,Federer,2006,8,2
2006-08-07,Canada Masters,Hard,R64,1,36,6-3 6-4,108,14,0,48,24,24,2,74,0,0,1,Paul Henri Mathieu,Federer,2006,8,2
2006-06-26,Wimbledon,Grass,F,1,2,6-0 7-6(5) 6-7(2) 6-3,246,13,1,119,83,36,9,178,0,0,1,Rafael Nadal,Federer,2006,6,4
2006-06-26,Wimbledon,Grass,SF,1,59,6-2 6-0 6-2,123,9,0,59,43,16,3,77,0,0,1,Jonas Bjorkman,Federer,2006,6,3
2006-06-26,Wimbledon,Grass,QF,1,10,6-4 6-4 6-4,167,7,1,87,50,37,7,107,0,0,1,Mario Ancic,Federer,2006,6,3
2006-06-26,Wimbledon,Grass,R16,1,14,6-3 6-3 6-4,156,21,1,72,49,23,1,83,0,0,1,Tomas Berdych,Federer,2006,6,3
2006-06-26,Wimbledon,Grass,R32,1,77,6-3 7-6(2) 6-4,189,7,1,93,60,33,10,125,0,0,1,Nicolas Mahut,Federer,2006,6,3
2006-06-26,Wimbledon,Grass,R64,1,64,6-4 6-0 6-2,132,6,0,71,44,27,0,85,0,0,1,Tim Henman,Federer,2006,6,3
2006-06-26,Wimbledon,Grass,R128,1,50,6-3 6-2 6-2,139,5,1,70,47,23,2,74,0,0,1,Richard Gasquet,Federer,2006,6,3
2006-06-12,Halle,Grass,F,1,15,6-0 6-7(4) 6-2,156,11,3,73,48,25,10,95,0,0,1,Tomas Berdych,Federer,2006,6,3
2006-06-12,Halle,Grass,SF,1,26,6-4 6-7(4) 6-3,218,9,1,97,65,32,4,137,0,0,1,Tommy Haas,Federer,2006,6,3
2006-06-12,Halle,Grass,QF,1,29,6-7(2) 7-6(9) 7-6(5),262,19,2,134,88,46,2,165,0,0,1,Olivier Rochus,Federer,2006,6,3
2006-06-12,Halle,Grass,R16,1,51,7-6(7) 6-7(7) 6-4,223,10,0,113,74,39,1,134,0,0,1,Richard Gasquet,Federer,2006,6,3
2006-06-12,Halle,Grass,R32,1,267,7-6(4) 6-2,132,7,0,56,37,19,9,71,0,0,1,Rohan Bopanna,Federer,2006,6,2
2006-05-29,Roland Garros,Clay,F,1,2,1-6 6-1 6-4 7-6(4),230,8,1,119,72,47,3,182,0,0,0,Rafael Nadal,Rafael Nadal,2006,5,4
2006-05-29,Roland Garros,Clay,SF,1,3,3-6 6-4 5-2 RET,146,4,1,72,41,31,1,98,1,0,1,David Nalbandian,Federer,2006,5,4
2006-05-29,Roland Garros,Clay,QF,1,12,6-4 6-3 6-4,204,4,0,104,65,39,3,137,0,0,1,Mario Ancic,Federer,2006,5,3
2006-05-29,Roland Garros,Clay,R16,1,20,6-3 6-2 6-3,171,9,1,79,50,29,7,107,0,0,1,Tomas Berdych,Federer,2006,5,3
2006-05-29,Roland Garros,Clay,R32,1,35,6-1 6-2 6-7(4) 7-5,233,6,3,114,70,44,4,155,0,0,1,Nicolas Massu,Federer,2006,5,4
2006-05-29,Roland Garros,Clay,R64,1,139,6-1 6-4 6-3,154,4,0,68,46,22,4,86,0,0,1,Alejandro Falla,Federer,2006,5,3
2006-05-29,Roland Garros,Clay,R128,1,157,7-5 7-6(2) 6-2,239,5,2,106,70,36,0,156,0,0,1,Diego Hartfield,Federer,2006,5,3
2006-05-08,Rome Masters,Clay,F,1,2,6-7(0) 7-6(5) 6-4 2-6 7-6(5),353,10,0,180,112,68,4,305,0,0,0,Rafael Nadal,Rafael Nadal,2006,5,5
2006-05-08,Rome Masters,Clay,SF,1,3,6-3 3-6 7-6(5),229,9,2,117,56,61,2,163,0,0,1,David Nalbandian,Federer,2006,5,3
2006-05-08,Rome Masters,Clay,QF,1,54,6-3 6-7(2) 7-5,229,9,2,111,69,42,1,153,0,0,1,Nicolas Almagro,Federer,2006,5,3
2006-05-08,Rome Masters,Clay,R16,1,18,6-1 6-4,93,2,2,46,24,22,3,57,0,0,1,Radek Stepanek,Federer,2006,5,2
